Proposed Method,Comparison,Metric,Mean Difference,CI Lower,CI Upper,p-value,Bonferroni p-value,Direction,Decision
OOWFR_LinMulT,OOB_MulT,R_acc,-0.06228426340062745,-0.07847547037647472,-0.04677130940004318,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,OOB_MulT,R^2,-0.05843467347545643,-0.08061531565940509,-0.03631867350661987,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,OOB_LinMulT,R_acc,-0.06245877047169961,-0.07839527239685319,-0.04728723377182646,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,OOB_LinMulT,R^2,-0.05947221105600829,-0.08136510280448858,-0.03769372659146537,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,WFR_MulT,R_acc,-0.1305364057015912,-0.15191804872286357,-0.10971111967521908,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,WFR_MulT,R^2,-0.13890199493088745,-0.16687796927195597,-0.11090757237316667,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,WFR_LinMulT,R_acc,-0.1398509329088532,-0.1615955278105115,-0.11881595469746216,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,WFR_LinMulT,R^2,-0.1342907580303539,-0.1612977911059793,-0.10728476312532456,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,OOWFR_MulT,R_acc,-0.01083759483857165,-0.0213588943987531,-0.00042997621738470203,0.0,0.0,Proposed Method,H_a
OOWFR_LinMulT,OOWFR_MulT,R^2,-0.001847921407706616,-0.01736276777949875,0.013843814884652325,2.5582030013222633e-117,1.2791015006611316e-116,Proposed Method,H_a
