Model A,Model B,Metric,Mean Difference,CI Lower,CI Upper,p-value,Bonferroni p-value,Direction,Decision
OOB_MulT,OOB_LinMulT,MAE,-0.006581730777199491,-0.009394074632303032,-0.0037996107563907032,0.0,0.0,Model A,H_a
OOB_MulT,OOB_LinMulT,Correlation,0.007142612676023407,0.004302970256089558,0.010023224617201393,0.0,0.0,Model A,H_a
OOB_MulT,OOB_LinMulT,Acc_7,0.005481955051276461,-0.0013091861226270929,0.012219070477852978,0.0,0.0,Model A,H_a
OOB_MulT,OOB_LinMulT,F1_7,0.0038161361085663472,-0.003069329922436441,0.010800950266201655,0.0,0.0,Model A,H_a
OOB_MulT,OOB_LinMulT,Acc_2,-0.0030592843115862987,-0.008073314422867073,0.0017455814968361267,0.0,0.0,Model B,H_a
OOB_MulT,OOB_LinMulT,F1_2,-0.00304022089204145,-0.006967524694073071,0.0008720895161861326,0.0,0.0,Model B,H_a
WFR_MulT,WFR_LinMulT,MAE,-0.006419249074901597,-0.012625087835596288,-0.0002826905403202523,0.0,0.0,Model A,H_a
WFR_MulT,WFR_LinMulT,Correlation,0.0008977445484260081,-0.0036876860375359725,0.0056127733313179875,2.6559920541606847e-291,7.967976162482055e-291,Model A,H_a
WFR_MulT,WFR_LinMulT,Acc_7,0.007264870172376175,-0.00392755836788139,0.01832860571677941,0.0,0.0,Model A,H_a
WFR_MulT,WFR_LinMulT,F1_7,-0.007596359077566116,-0.02635206716525065,0.010572459156149698,0.0,0.0,Model B,H_a
WFR_MulT,WFR_LinMulT,Acc_2,0.02746039711979052,0.018983198778092958,0.036002618372245165,0.0,0.0,Model A,H_a
WFR_MulT,WFR_LinMulT,F1_2,0.025770398688619828,0.01890485054140185,0.0325529204420598,0.0,0.0,Model A,H_a
OOWFR_MulT,OOWFR_LinMulT,MAE,0.0030183261803458645,-0.0008884275784929724,0.006926243866115099,0.0,0.0,Model B,H_a
OOWFR_MulT,OOWFR_LinMulT,Correlation,-0.0003343463145182944,-0.0037209671409894536,0.003075775913084538,1.3704490307762583e-81,4.111347092328775e-81,Model B,H_a
OOWFR_MulT,OOWFR_LinMulT,Acc_7,-0.001552018328605716,-0.009818895919703308,0.00676412830023998,9.778829469656255e-276,2.933648840896877e-275,Model B,H_a
OOWFR_MulT,OOWFR_LinMulT,F1_7,0.0013408627519656728,-0.01397868935350243,0.016760464550675043,4.871328701045218e-66,1.4613986103135652e-65,Model A,H_a
OOWFR_MulT,OOWFR_LinMulT,Acc_2,0.008068514073750808,0.0017455814968361238,0.014401047348898133,0.0,0.0,Model A,H_a
OOWFR_MulT,OOWFR_LinMulT,F1_2,0.006705082605181481,0.0016702513316577711,0.011705265265219825,0.0,0.0,Model A,H_a
